Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
35-39	1.803819500510743E-4	2.2402274441826967E-4	5.06960561232253E-4	3.273059577539654E-5	0.001583433488956406	V05_DN_R1_rmphix_fastqc
40-44	2.494798744658003E-4	2.5602599362087964E-4	5.607842076184608E-4	3.927671493047586E-5	0.0018220031648304076	V05_DN_R1_rmphix_fastqc
45-49	3.1057698657987386E-4	2.858472031051298E-4	6.240633594508941E-4	4.364079436719539E-5	0.0020627548804227685	V05_DN_R1_rmphix_fastqc
50-54	3.88403069868039E-4	3.28033304326752E-4	6.909792441472603E-4	4.5095487512768566E-5	0.0022918690508505445	V05_DN_R1_rmphix_fastqc
55-59	4.684111928745639E-4	3.5785451381100216E-4	7.506216631157607E-4	5.818772582292718E-5	0.002530438726724546	V05_DN_R1_rmphix_fastqc
60-64	5.956968431122171E-4	3.6731001925722784E-4	8.22628973821633E-4	6.982527098751262E-5	0.0027864647203454255	V05_DN_R1_rmphix_fastqc
65-69	7.244371864954435E-4	3.8331164385853284E-4	8.720885407711212E-4	7.273465727865899E-5	0.0029988499195991096	V05_DN_R1_rmphix_fastqc
70-74	8.764526202078408E-4	4.1458754648835626E-4	9.317309597396215E-4	7.273465727865899E-5	0.0032468751009193373	V05_DN_R1_rmphix_fastqc
75-79	0.0010677447688507138	4.3568059709916734E-4	9.906460321353352E-4	7.273465727865899E-5	0.003411255426369106	V05_DN_R1_rmphix_fastqc
80-84	0.0012372165203099893	4.5895568742833814E-4	0.0010364688662208904	7.564404356980535E-5	0.0035719990189549424	V05_DN_R1_rmphix_fastqc
85-89	0.0014474196798453136	4.909589366309481E-4	0.0010946565920438177	8.000812300652487E-5	0.00375383566215159	V05_DN_R1_rmphix_fastqc
90-94	0.001683079969428169	5.236895324063446E-4	0.0011259324946736413	9.31003613166835E-5	0.003967675554550848	V05_DN_R1_rmphix_fastqc
95-99	0.0019703818656788717	5.564201281817412E-4	0.0011688459424680497	1.0982933249077506E-4	0.004170605248358307	V05_DN_R1_rmphix_fastqc
100-104	0.002222043779863032	5.884233773843512E-4	0.0011986671519522997	1.1637545164585437E-4	0.004340076999817581	V05_DN_R1_rmphix_fastqc
105-109	0.0024991628240947227	6.167898937230281E-4	0.0012408532531739225	1.1710279821864096E-4	0.004569191170245358	V05_DN_R1_rmphix_fastqc
110-114	0.002842470406449993	6.349735580426929E-4	0.0013135879104525813	1.2001218450978732E-4	0.004771393517480029	V05_DN_R1_rmphix_fastqc
115-119	0.003209053079134434	6.524298757895711E-4	0.0013768670622850145	1.2001218450978732E-4	0.004960503626404543	V05_DN_R1_rmphix_fastqc
120-124	0.0036381875570785224	6.713408866820224E-4	0.001424144589516143	1.2364891737372028E-4	0.005122701912135952	V05_DN_R1_rmphix_fastqc
