Quality	Count	Library
17	3786.0	V17_DN_S224_L003_R2_001_fastqc
18	4142.0	V17_DN_S224_L003_R2_001_fastqc
19	5461.0	V17_DN_S224_L003_R2_001_fastqc
20	7951.0	V17_DN_S224_L003_R2_001_fastqc
21	11613.0	V17_DN_S224_L003_R2_001_fastqc
22	14930.0	V17_DN_S224_L003_R2_001_fastqc
23	18403.0	V17_DN_S224_L003_R2_001_fastqc
24	22546.0	V17_DN_S224_L003_R2_001_fastqc
25	28180.0	V17_DN_S224_L003_R2_001_fastqc
26	29610.0	V17_DN_S224_L003_R2_001_fastqc
27	34495.0	V17_DN_S224_L003_R2_001_fastqc
28	38690.0	V17_DN_S224_L003_R2_001_fastqc
29	45004.0	V17_DN_S224_L003_R2_001_fastqc
30	52895.0	V17_DN_S224_L003_R2_001_fastqc
31	66896.0	V17_DN_S224_L003_R2_001_fastqc
32	88244.0	V17_DN_S224_L003_R2_001_fastqc
33	136662.0	V17_DN_S224_L003_R2_001_fastqc
34	247210.0	V17_DN_S224_L003_R2_001_fastqc
35	636835.0	V17_DN_S224_L003_R2_001_fastqc
36	5582368.0	V17_DN_S224_L003_R2_001_fastqc
37	2474929.0	V17_DN_S224_L003_R2_001_fastqc
13	1.0	V19_DN_S225_L003_R1_001_fastqc
14	5.0	V19_DN_S225_L003_R1_001_fastqc
15	41.0	V19_DN_S225_L003_R1_001_fastqc
16	113.0	V19_DN_S225_L003_R1_001_fastqc
17	209.0	V19_DN_S225_L003_R1_001_fastqc
18	239.0	V19_DN_S225_L003_R1_001_fastqc
19	417.0	V19_DN_S225_L003_R1_001_fastqc
20	665.0	V19_DN_S225_L003_R1_001_fastqc
21	1148.0	V19_DN_S225_L003_R1_001_fastqc
22	1970.0	V19_DN_S225_L003_R1_001_fastqc
23	3240.0	V19_DN_S225_L003_R1_001_fastqc
24	4535.0	V19_DN_S225_L003_R1_001_fastqc
25	7216.0	V19_DN_S225_L003_R1_001_fastqc
26	11347.0	V19_DN_S225_L003_R1_001_fastqc
27	17293.0	V19_DN_S225_L003_R1_001_fastqc
28	23905.0	V19_DN_S225_L003_R1_001_fastqc
29	31294.0	V19_DN_S225_L003_R1_001_fastqc
30	38973.0	V19_DN_S225_L003_R1_001_fastqc
31	51425.0	V19_DN_S225_L003_R1_001_fastqc
32	70524.0	V19_DN_S225_L003_R1_001_fastqc
33	108871.0	V19_DN_S225_L003_R1_001_fastqc
34	186582.0	V19_DN_S225_L003_R1_001_fastqc
35	439102.0	V19_DN_S225_L003_R1_001_fastqc
36	4981244.0	V19_DN_S225_L003_R1_001_fastqc
37	5118938.0	V19_DN_S225_L003_R1_001_fastqc
11	113.0	V19_DN_S225_L003_R2_001_fastqc
12	2024.0	V19_DN_S225_L003_R2_001_fastqc
13	4722.0	V19_DN_S225_L003_R2_001_fastqc
14	4785.0	V19_DN_S225_L003_R2_001_fastqc
15	3765.0	V19_DN_S225_L003_R2_001_fastqc
16	2720.0	V19_DN_S225_L003_R2_001_fastqc
17	2626.0	V19_DN_S225_L003_R2_001_fastqc
18	3198.0	V19_DN_S225_L003_R2_001_fastqc
19	4669.0	V19_DN_S225_L003_R2_001_fastqc
20	7141.0	V19_DN_S225_L003_R2_001_fastqc
21	11157.0	V19_DN_S225_L003_R2_001_fastqc
22	15364.0	V19_DN_S225_L003_R2_001_fastqc
23	20544.0	V19_DN_S225_L003_R2_001_fastqc
24	28843.0	V19_DN_S225_L003_R2_001_fastqc
25	40407.0	V19_DN_S225_L003_R2_001_fastqc
26	47025.0	V19_DN_S225_L003_R2_001_fastqc
27	56794.0	V19_DN_S225_L003_R2_001_fastqc
28	62755.0	V19_DN_S225_L003_R2_001_fastqc
29	67947.0	V19_DN_S225_L003_R2_001_fastqc
30	72865.0	V19_DN_S225_L003_R2_001_fastqc
31	83991.0	V19_DN_S225_L003_R2_001_fastqc
32	103179.0	V19_DN_S225_L003_R2_001_fastqc
33	152814.0	V19_DN_S225_L003_R2_001_fastqc
34	273083.0	V19_DN_S225_L003_R2_001_fastqc
35	711242.0	V19_DN_S225_L003_R2_001_fastqc
36	6399410.0	V19_DN_S225_L003_R2_001_fastqc
37	2916114.0	V19_DN_S225_L003_R2_001_fastqc
14	23.0	WUB_TM01_S131_L003_R1_001_fastqc
15	77.0	WUB_TM01_S131_L003_R1_001_fastqc
16	198.0	WUB_TM01_S131_L003_R1_001_fastqc
17	374.0	WUB_TM01_S131_L003_R1_001_fastqc
18	535.0	WUB_TM01_S131_L003_R1_001_fastqc
19	888.0	WUB_TM01_S131_L003_R1_001_fastqc
20	1383.0	WUB_TM01_S131_L003_R1_001_fastqc
21	2395.0	WUB_TM01_S131_L003_R1_001_fastqc
22	3899.0	WUB_TM01_S131_L003_R1_001_fastqc
23	5839.0	WUB_TM01_S131_L003_R1_001_fastqc
24	7934.0	WUB_TM01_S131_L003_R1_001_fastqc
25	10749.0	WUB_TM01_S131_L003_R1_001_fastqc
26	14610.0	WUB_TM01_S131_L003_R1_001_fastqc
27	20538.0	WUB_TM01_S131_L003_R1_001_fastqc
28	28319.0	WUB_TM01_S131_L003_R1_001_fastqc
29	39228.0	WUB_TM01_S131_L003_R1_001_fastqc
30	53329.0	WUB_TM01_S131_L003_R1_001_fastqc
31	76536.0	WUB_TM01_S131_L003_R1_001_fastqc
32	109980.0	WUB_TM01_S131_L003_R1_001_fastqc
33	172271.0	WUB_TM01_S131_L003_R1_001_fastqc
34	293209.0	WUB_TM01_S131_L003_R1_001_fastqc
35	659493.0	WUB_TM01_S131_L003_R1_001_fastqc
36	6403282.0	WUB_TM01_S131_L003_R1_001_fastqc
37	8062730.0	WUB_TM01_S131_L003_R1_001_fastqc
11	304.0	WUB_TM01_S131_L003_R2_001_fastqc
12	4369.0	WUB_TM01_S131_L003_R2_001_fastqc
13	11084.0	WUB_TM01_S131_L003_R2_001_fastqc
14	11328.0	WUB_TM01_S131_L003_R2_001_fastqc
15	9196.0	WUB_TM01_S131_L003_R2_001_fastqc
16	6721.0	WUB_TM01_S131_L003_R2_001_fastqc
17	6097.0	WUB_TM01_S131_L003_R2_001_fastqc
18	5824.0	WUB_TM01_S131_L003_R2_001_fastqc
19	7029.0	WUB_TM01_S131_L003_R2_001_fastqc
20	9782.0	WUB_TM01_S131_L003_R2_001_fastqc
21	14225.0	WUB_TM01_S131_L003_R2_001_fastqc
22	18220.0	WUB_TM01_S131_L003_R2_001_fastqc
23	21842.0	WUB_TM01_S131_L003_R2_001_fastqc
24	27294.0	WUB_TM01_S131_L003_R2_001_fastqc
25	32336.0	WUB_TM01_S131_L003_R2_001_fastqc
26	31350.0	WUB_TM01_S131_L003_R2_001_fastqc
27	34995.0	WUB_TM01_S131_L003_R2_001_fastqc
28	40270.0	WUB_TM01_S131_L003_R2_001_fastqc
29	49592.0	WUB_TM01_S131_L003_R2_001_fastqc
30	61264.0	WUB_TM01_S131_L003_R2_001_fastqc
31	80160.0	WUB_TM01_S131_L003_R2_001_fastqc
32	107968.0	WUB_TM01_S131_L003_R2_001_fastqc
33	165513.0	WUB_TM01_S131_L003_R2_001_fastqc
34	289500.0	WUB_TM01_S131_L003_R2_001_fastqc
35	718013.0	WUB_TM01_S131_L003_R2_001_fastqc
36	8327212.0	WUB_TM01_S131_L003_R2_001_fastqc
37	5876331.0	WUB_TM01_S131_L003_R2_001_fastqc
14	17.0	WUB_TM02_S132_L003_R1_001_fastqc
15	73.0	WUB_TM02_S132_L003_R1_001_fastqc
